Club,Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Manchester City,Premier League,27.2,23,1050.0,45.75,988.0,0.9390000000000001
Paris Saint-Germain,Ligue 1,26.1,35,997.75,28.51,889.0,0.8909999999999999
Manchester United,Premier League,28.0,28,937.25,33.47,850.0,0.907
Chelsea FC,Premier League,26.8,27,882.5,32.69,816.0,0.925
Liverpool FC,Premier League,27.0,27,879.5,32.57,810.5,0.922
Bayern Munich,Bundesliga,25.9,26,852.9,32.8,819.9,0.961
Real Madrid,LaLiga,27.2,27,793.5,29.39,708.0,0.892
Atlético de Madrid,LaLiga,28.1,22,755.2,34.33,730.0,0.9670000000000001
Tottenham Hotspur,Premier League,25.5,24,697.0,29.04,632.0,0.907
FC Barcelona,LaLiga,25.3,29,677.0,23.34,620.0,0.9159999999999999
Juventus FC,Serie A,27.3,25,640.4,25.62,597.0,0.932
Inter Milan,Serie A,28.8,28,573.3,20.48,548.0,0.956
Borussia Dortmund,Bundesliga,24.6,34,565.9,16.64,518.0,0.915
Leicester City,Premier League,26.9,28,550.1,19.65,502.0,0.9129999999999999
Arsenal FC,Premier League,25.3,26,548.5,21.1,484.0,0.882
SSC Napoli,Serie A,27.6,25,517.75,20.71,493.0,0.9520000000000001
RB Leipzig,Bundesliga,24.2,28,505.55,18.06,454.5,0.899
AC Milan,Serie A,26.2,28,466.9,16.68,424.0,0.9079999999999999
Everton FC,Premier League,27.8,26,433.75,16.68,401.2,0.925
Sevilla FC,LaLiga,28.2,26,429.4,16.52,391.0,0.9109999999999999
Atalanta BC,Serie A,27.1,26,415.35,15.98,384.5,0.9259999999999999
AS Roma,Serie A,25.1,30,410.35,13.68,375.8,0.9159999999999999
Aston Villa,Premier League,25.7,24,408.3,17.01,392.8,0.9620000000000001
Wolverhampton Wanderers,Premier League,26.3,24,391.1,16.3,376.3,0.9620000000000001
Real Sociedad,LaLiga,26.0,26,377.0,14.5,354.5,0.94
West Ham United,Premier League,28.8,24,353.25,14.72,341.5,0.9670000000000001
Bayer 04 Leverkusen,Bundesliga,24.7,27,352.75,13.06,323.0,0.9159999999999999
AS Monaco,Ligue 1,24.5,28,350.9,12.53,313.0,0.892
Olympique Lyon,Ligue 1,25.5,29,348.5,12.02,333.1,0.956
Ajax Amsterdam,Eredivisie,25.6,25,343.2,13.73,322.7,0.94
SS Lazio,Serie A,27.5,33,326.6,9.9,301.8,0.924
Borussia Mönchengladbach,Bundesliga,25.4,28,300.0,10.71,288.9,0.963
Villarreal CF,LaLiga,28.2,24,298.9,12.45,284.0,0.95
